الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
هيئة الإذاعة والتلفزيون,(مزايده لاعلى قيمه اجاريه ) تشغيل مقهى مجمع التلفزيون بهيئة الاذاعة والتلفزيون بالرياض,2023-03-27,120000.0
أمانة منطقة الحدود الشمالية,مشروع صيانه وتشغيل شبكه الحاسب لبلديه محافظه رفحاء,2023-02-17,3890772.0
بنك التنمية الاجتماعية,فعالية دعم أنشطة الامتياز التجاري,2023-04-13,885500.0
جامعة الملك سعود,تجديد عقد الصيانة لنظام الصحي الإلكتروني,2023-04-26,50159734.0
المؤسسة العامة لتحلية المياه المالحة,مشروع توضيب وتهيئة عدد (3) شبك تنقية رأسي بمبنى مدخل مياه البحر بمحطات الشعيبة المرحلة الثانية ,2023-02-27,388701.15
جامعة الجوف,صيانة نظام الحضور والانصراف ,2023-03-27,1147987.5
المديرية العامة للشؤون الصحية بمنطقة جازان,اعمال ما قبل التشغيل لمغاسل مستشفى التخصصي ,2023-03-06,1610113.85
أمانة منطقة المدينة المنورة,مشروع تشغيل المراكز الفرعية لخدمة العملاء بأمانة منطقة المدينة المنورة,2023-05-16,6375600.0
جامعة الجوف,توريد اجهزة ومستلزمات تعليمية لتأسيس معامل كلية التمريض بجامعة الجوف  ,2023-06-21,2599945.0
الشئون الصحية بمنطقة نجران,منافسة تأمين أدوية ومستلزمات طبية للمستشفيات والمراكز الصحية بصحة منطقة نجران ,2023-02-14,1602560.0
بلدية القوز(القنفذة),إحلال واستبدال أعمدة إنارة بالقوز .,2023-02-28,1365682.5
بلدية القوز(القنفذة),إحلال حاويات النظافة لبلدية القوز.,2023-02-28,439645.0
أمانة محافظة جدة,أعمال صيانة البوابات الإلكترونية وكاميرات مراقبة المواقف بمبنى أمانة جدة الرئيسي 17033,2023-05-29,2028600.0
بلدية محافظة عيون الجواء,تامين قطع غيار معدات افانت لأعمال معالجة التشوة البصري لبلدية محافظة عيون الجواء,2023-02-07,184640.0
جامعة الملك عبدالعزيز,تأمين ارواب لحفل الخريجات,2023-01-26,899300.0
أمانة منطقة حائل,صيانة المزروعات في  ((نطاق المواقع المستلمة من وزارة النقل والخدمات اللوجستية في مدينة حائل )),2023-06-13,9532522.5
أمانة العاصمة المقدسة,تشغيل وصيانة ونظافة دورات المياه بممشى السيدة زينب الهلالية بمكة المكرمة,2023-04-19,2484057.5
أمانة منطقة حائل,مشروع تأهيل وتطوير حدائق الخماشية,2023-04-13,4845007.5
بلدية محافظة بيشة,صيانه الشوراع ومعالجة التشوة البصري ( بلدية محافظة بيشة ) ,2023-07-24,2264350.0
بلدية محافظة بيشة,إزالة المخلفات ومعالجة التشوه البصري (بلدية محافظة بيشة) ,2023-07-24,2001000.0
دارة الملك عبدالعزيز,مشروع الربط المخصص للإنترنت بمركز تاريخ مكة المكرمة بسرعة 20 ميغا ,2023-04-02,171350.0
صندوق التعليم العالي الجامعي,حصر وجرد وترميز الأصول,2023-06-01,396750.0
المؤسسة العامة لتحلية المياه المالحة,توريد قطع غيار ميكانيكية لمنظومة انتاج راس الخير Valve General   60009164,2023-05-06,145947.59
أدارة الموارد الذاتية بصحة جدة,مشروع استبدال خزان الاكسجين لمستشفى الملك فهد العام بجدة,2023-05-04,592250.0
هيئة الرقابة النووية و الإشعاعية,تشغيل وصيانة ونظافة المقر الرئيسي لهيئة الرقابة النووية والإشعاعية بمدينة الرياض,2023-03-31,4154982.0
تجمع الرياض الصحي الثاني,توريد المستهلكات والمستلزمات لنفايات الرعاية الصحية الخطرة للمنشآت الصحية التابعة لتجمع الرياض الصحي الثاني,2023-07-09,23454438.8
أمانة منطقة حائل,اعادة تاهيل حديقة النيصية,2023-04-06,1234985.0
وزارة الطاقة, توريد وتركيب مزود الطاقة الاحتياطية لمركز الرصد الإعلامي بالدور الثامن لمبنى وزارة الطاقة,2023-02-21,183862.0
بنك التنمية الاجتماعية,تأثيث وتجهيز فروع البنك لجادة 30 لكل من (جدة ومكة المكرمة والمدينة المنورة وجازان وحائل والجوف) ,2023-03-19,3013602.6
جامعة جدة,مشروع تأهيل وترميم مقر التخصصات الصحية بالشرفية,2023-05-02,2784000.5
أمانة منطقة حائل,إنشاء منتزه عام بالرصف مرحلة ثانية ,2023-05-30,7210555.74
أمانة منطقة حائل,تخطيط الشوارع لزوم اعمال التشوه البصري,2023-06-15,285200.0
أمانة منطقة حائل,إعادة تأهيل وإحلال منتزه عقدة ,2023-04-08,4963975.0
أمانة منطقة حائل,تحسين المنظور البصري بحيرة اجاء ,2023-07-11,3126850.0
أمانة منطقة حائل,تحسين المنظور البصري لحدائق النقرة,2023-05-16,4986495.45
الهيئة العامة للترفيه,توفير تراخيص أنظمة الخدمات المدارة والبنية التقنية,2023-02-19,517500.0
وزارة الشئون البلدية والقروية والأسكان,انظمة وبرامج اوتوديسك للقطاع البلدي ,2023-04-07,5661691.5
