Name,Description,Date,Amount
وزارة الثقافة,توريد وتركيب أجهزة هاتف,2024-01-02,700000.0
وزارة الثقافة,توريد وتركيب أجهزة هاتف,2024-01-02,700000.0
وزارة الثقافة,توريد وتركيب أجهزة هاتف,2024-01-02,700000.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
الهيئة السعودية للملكية الفكرية,تشغيل ودعم خدمات الجودة التقنية لأنظمة الهيئة الداخلية,2024-02-13,4728800.0
وزارة الشؤون البلدية والقروية,تأمين على مركبات وشاحنات - أمانة منطقة الباحة ,2023-12-04,87906.0
وزارة الصحة, مشروع تطوير وصيانة واحلال عزل السطح بمستشفى احد المسارحة العام ومستشفى ضمد العام ,2023-11-29,2423050.0
وزارة الصحة, مشروع تطوير وصيانة واحلال عزل السطح بمستشفى احد المسارحة العام ومستشفى ضمد العام ,2023-11-29,2423050.0
وزارة الصحة, مشروع تطوير وصيانة واحلال عزل السطح بمستشفى احد المسارحة العام ومستشفى ضمد العام ,2023-11-29,2423050.0
وزارة الصحة, مشروع تطوير وصيانة واحلال عزل السطح بمستشفى احد المسارحة العام ومستشفى ضمد العام ,2023-11-29,2423050.0
وزارة الصحة, مشروع تطوير وصيانة واحلال عزل السطح بمستشفى احد المسارحة العام ومستشفى ضمد العام ,2023-11-29,2423050.0
وزارة الصحة, مشروع تطوير وصيانة واحلال عزل السطح بمستشفى احد المسارحة العام ومستشفى ضمد العام ,2023-11-29,2423050.0
بنك التنمية الاجتماعية,مشروع الاطلاق الأولي لمنصة البيانات السحابية,,0.0
بنك التنمية الاجتماعية,مشروع الاطلاق الأولي لمنصة البيانات السحابية,,0.0
بنك التنمية الاجتماعية,مشروع الاطلاق الأولي لمنصة البيانات السحابية,,0.0
وزارة الرياضة,مشروع نظام إدارة الصلاحيات الهامة والحسّاسة,2023-11-23,943465.75
وزارة الرياضة,مشروع نظام إدارة الصلاحيات الهامة والحسّاسة,2023-11-23,943465.75
وزارة الخدمة المدنية,توريد أجهزة تمارين للنادي الرياضي,2024-01-16,163349.46
وزارة الخدمة المدنية,توريد أجهزة تمارين للنادي الرياضي,2024-01-16,163349.46
الهيئة الملكية للجبيل وينبع,توفير أجهزة الحاسب وملحقاتها لبرنامج الخدمات الصحية بالجبيل.,2023-12-06,831468.4
