الجهة الرئيسية,اسم المنافسة,تاريخ الترسية,قيمة الترسية
وزارة الشؤون البلدية والقروية,فتح الطرق الجبلية بمكة المكرمة,2023-11-21,22751600.0
وزارة الصحة,الصيانة والنظافة والتشغيل غير الطبي لمستشفى سلوى العام ,2024-01-25,28422376.0
وزارة الصحة,الصيانة والنظافة والتشغيل غير الطبي لمستشفى سلوى العام ,2024-01-25,28422376.0
البيئة والمياه والزراعة,تشغيل وصيانة ونظافة المتنـزهات الوطنية بمحافظة أبها بمنطقة عسير,2024-02-15,12494600.2
البيئة والمياه والزراعة,تشغيل وصيانة ونظافة المتنـزهات الوطنية بمحافظة أبها بمنطقة عسير,2024-02-15,12494600.2
البيئة والمياه والزراعة,تشغيل وصيانة ونظافة المتنـزهات الوطنية بمحافظة أبها بمنطقة عسير,2024-02-15,12494600.2
وزارة التعليم,مشروع توريد وتركيب نظام التواصل الداخلي والإنذار المبكر,2023-10-31,1149998.85
الهيئة الملكية للجبيل وينبع,مشروع تأهيل دورات مياه غرف المرضى بالمركز الطبي ,2023-12-07,4025000.06
الهيئة الملكية للجبيل وينبع,مشروع توريد وتركيب وتشغيل لوحات تعريفية للمركز الطبي للهيئة الملكية  بمدينة ينبع الصناعية ومرافقة ,2023-12-07,192556.0
وزارة الشؤون البلدية والقروية,تاهيل وتطوير شارع جادة الثقافة - 17208,2024-01-15,44390000.0
الهيئة الملكية للجبيل وينبع,تجديد رخص النظام الوطني لسلامة المرضى للتبليغ عن الحوادث الطبية والغير طبية (صوتك) ,2023-12-07,180849.0
وزارة الشؤون البلدية والقروية,مشروع تحسين شوارع بالدمام ٤ ( سفلته وارصفة بحي الامانة بالدمام),2023-12-20,28007100.0
وزارة الشؤون البلدية والقروية,مشروع تحسين شوارع بالدمام ٤ ( سفلته وارصفة بحي الامانة بالدمام),2023-12-20,28007100.0
وزارة الشؤون البلدية والقروية,مشروع تحسين شوارع بالدمام ٤ ( سفلته وارصفة بحي الامانة بالدمام),2023-12-20,28007100.0
وزارة الشؤون البلدية والقروية,مشروع تحسين شوارع بالدمام ٤ ( سفلته وارصفة بحي الامانة بالدمام),2023-12-20,28007100.0
هيئة الهلال الأحمر السعودي,إنشاء المقرات البديلة (الطوارئ) في (القصيم وحائل),2023-09-04,27989953.5
وزارة التعليم,تشغيل مستشفى طب الأسنان بجامعة الطائف,2024-01-29,37387133.3100001
وزارة التعليم,تشغيل مستشفى طب الأسنان بجامعة الطائف,2024-01-29,37387133.3100001
وزارة التعليم,تشغيل مستشفى طب الأسنان بجامعة الطائف,2024-01-29,37387133.3100001
وزارة التعليم,تشغيل مستشفى طب الأسنان بجامعة الطائف,2024-01-29,37387133.3100001
الهيئة الملكية للجبيل وينبع,الاستشارات التعليميةوالتربوية,2023-08-21,1198999.89
الهيئة الملكية للجبيل وينبع,الاستشارات التعليميةوالتربوية,2023-08-21,1198999.89
وزارة التعليم,صيانة واصلاح وتشغيل المباني التعليمية بمحافظة طريف ( بنين وبنات ),2024-01-29,2572020.0
وزارة التعليم,صيانة واصلاح وتشغيل المباني التعليمية بمحافظة طريف ( بنين وبنات ),2024-01-29,2572020.0
